Date,Store,Product,Demand,price,promo,weekday,month
01-01-2019,store_1,item_1,41,21.3,0,1,1
02-01-2019,store_1,item_1,53,21.3,0,2,1
03-01-2019,store_1,item_1,39,21.3,0,3,1
04-01-2019,store_1,item_1,35,21.3,0,4,1
05-01-2019,store_1,item_1,51,17.04,1,5,1
06-01-2019,store_1,item_1,38,21.3,0,6,1
07-01-2019,store_1,item_1,45,21.3,0,0,1
08-01-2019,store_1,item_1,48,21.3,0,1,1
09-01-2019,store_1,item_1,50,21.3,0,2,1
10-01-2019,store_1,item_1,44,21.3,0,3,1
11-01-2019,store_1,item_1,38,21.3,0,4,1
12-01-2019,store_1,item_1,30,21.3,0,5,1
13-01-2019,store_1,item_1,48,17.04,1,6,1
14-01-2019,store_1,item_1,40,21.3,0,0,1
15-01-2019,store_1,item_1,46,21.3,0,1,1
16-01-2019,store_1,item_1,47,21.3,0,2,1
17-01-2019,store_1,item_1,46,21.3,0,3,1
18-01-2019,store_1,item_1,40,21.3,0,4,1
19-01-2019,store_1,item_1,33,21.3,0,5,1
20-01-2019,store_1,item_1,39,21.3,0,6,1
21-01-2019,store_1,item_1,38,21.3,0,0,1
22-01-2019,store_1,item_1,47,21.3,0,1,1
23-01-2019,store_1,item_1,48,21.3,0,2,1
24-01-2019,store_1,item_1,40,21.3,0,3,1
25-01-2019,store_1,item_1,38,21.3,0,4,1
26-01-2019,store_1,item_1,34,21.3,0,5,1
27-01-2019,store_1,item_1,40,21.3,0,6,1
28-01-2019,store_1,item_1,44,21.3,0,0,1
29-01-2019,store_1,item_1,46,21.3,0,1,1
30-01-2019,store_1,item_1,57,21.3,0,2,1
31-01-2019,store_1,item_1,50,21.3,0,3,1
01-01-2020,store_1,item_1,45,21.3,0,2,1
02-01-2020,store_1,item_1,47,21.3,0,3,1
03-01-2020,store_1,item_1,36,21.3,0,4,1
04-01-2020,store_1,item_1,33,21.3,0,5,1
05-01-2020,store_1,item_1,52,17.04,1,6,1
06-01-2020,store_1,item_1,40,21.3,0,0,1
07-01-2020,store_1,item_1,73,17.04,1,1,1
08-01-2020,store_1,item_1,51,21.3,0,2,1
09-01-2020,store_1,item_1,40,21.3,0,3,1
10-01-2020,store_1,item_1,42,21.3,0,4,1
11-01-2020,store_1,item_1,45,17.04,1,5,1
12-01-2020,store_1,item_1,38,21.3,0,6,1
13-01-2020,store_1,item_1,45,21.3,0,0,1
14-01-2020,store_1,item_1,70,17.04,1,1,1
15-01-2020,store_1,item_1,50,21.3,0,2,1
16-01-2020,store_1,item_1,43,21.3,0,3,1
17-01-2020,store_1,item_1,39,21.3,0,4,1
18-01-2020,store_1,item_1,34,21.3,0,5,1
19-01-2020,store_1,item_1,39,21.3,0,6,1
20-01-2020,store_1,item_1,47,21.3,0,0,1
21-01-2020,store_1,item_1,80,17.04,1,1,1
22-01-2020,store_1,item_1,51,21.3,0,2,1
23-01-2020,store_1,item_1,47,21.3,0,3,1
24-01-2020,store_1,item_1,56,17.04,1,4,1
25-01-2020,store_1,item_1,33,21.3,0,5,1
26-01-2020,store_1,item_1,41,21.3,0,6,1
27-01-2020,store_1,item_1,50,21.3,0,0,1
28-01-2020,store_1,item_1,48,21.3,0,1,1
29-01-2020,store_1,item_1,52,21.3,0,2,1
30-01-2020,store_1,item_1,49,21.3,0,3,1
31-01-2020,store_1,item_1,42,21.3,0,4,1
01-01-2021,store_1,item_1,36,21.3,0,4,1
02-01-2021,store_1,item_1,36,21.3,0,5,1
03-01-2021,store_1,item_1,35,21.3,0,6,1
04-01-2021,store_1,item_1,41,21.3,0,0,1
05-01-2021,store_1,item_1,53,21.3,0,1,1
06-01-2021,store_1,item_1,81,17.04,1,2,1
07-01-2021,store_1,item_1,45,21.3,0,3,1
08-01-2021,store_1,item_1,34,21.3,0,4,1
09-01-2021,store_1,item_1,38,21.3,0,5,1
10-01-2021,store_1,item_1,35,21.3,0,6,1
11-01-2021,store_1,item_1,46,21.3,0,0,1
12-01-2021,store_1,item_1,45,21.3,0,1,1
13-01-2021,store_1,item_1,82,17.04,1,2,1
14-01-2021,store_1,item_1,45,21.3,0,3,1
15-01-2021,store_1,item_1,43,21.3,0,4,1
16-01-2021,store_1,item_1,36,21.3,0,5,1
17-01-2021,store_1,item_1,54,17.04,1,6,1
18-01-2021,store_1,item_1,44,21.3,0,0,1
19-01-2021,store_1,item_1,55,21.3,0,1,1
20-01-2021,store_1,item_1,55,21.3,0,2,1
21-01-2021,store_1,item_1,52,21.3,0,3,1
22-01-2021,store_1,item_1,48,21.3,0,4,1
23-01-2021,store_1,item_1,33,21.3,0,5,1
24-01-2021,store_1,item_1,44,21.3,0,6,1
25-01-2021,store_1,item_1,47,21.3,0,0,1
26-01-2021,store_1,item_1,52,21.3,0,1,1
27-01-2021,store_1,item_1,53,21.3,0,2,1
28-01-2021,store_1,item_1,51,21.3,0,3,1
29-01-2021,store_1,item_1,46,21.3,0,4,1
30-01-2021,store_1,item_1,38,21.3,0,5,1
31-01-2021,store_1,item_1,45,21.3,0,6,1
01-01-2022,store_1,item_1,49,17.04,1,5,1
02-01-2022,store_1,item_1,55,17.04,1,6,1
03-01-2022,store_1,item_1,42,21.3,0,0,1
04-01-2022,store_1,item_1,52,21.3,0,1,1
05-01-2022,store_1,item_1,57,21.3,0,2,1
06-01-2022,store_1,item_1,48,21.3,0,3,1
07-01-2022,store_1,item_1,41,21.3,0,4,1
08-01-2022,store_1,item_1,37,21.3,0,5,1
09-01-2022,store_1,item_1,41,21.3,0,6,1
10-01-2022,store_1,item_1,39,21.3,0,0,1
11-01-2022,store_1,item_1,52,21.3,0,1,1
12-01-2022,store_1,item_1,56,21.3,0,2,1
13-01-2022,store_1,item_1,54,21.3,0,3,1
14-01-2022,store_1,item_1,63,17.04,1,4,1
15-01-2022,store_1,item_1,32,21.3,0,5,1
16-01-2022,store_1,item_1,42,21.3,0,6,1
17-01-2022,store_1,item_1,46,21.3,0,0,1
18-01-2022,store_1,item_1,52,21.3,0,1,1
19-01-2022,store_1,item_1,56,21.3,0,2,1
20-01-2022,store_1,item_1,52,21.3,0,3,1
21-01-2022,store_1,item_1,43,21.3,0,4,1
22-01-2022,store_1,item_1,33,21.3,0,5,1
23-01-2022,store_1,item_1,44,21.3,0,6,1
24-01-2022,store_1,item_1,53,21.3,0,0,1
25-01-2022,store_1,item_1,88,17.04,1,1,1
26-01-2022,store_1,item_1,56,21.3,0,2,1
27-01-2022,store_1,item_1,54,21.3,0,3,1
28-01-2022,store_1,item_1,69,17.04,1,4,1
29-01-2022,store_1,item_1,42,21.3,0,5,1
30-01-2022,store_1,item_1,45,21.3,0,6,1
31-01-2022,store_1,item_1,49,21.3,0,0,1
01-01-2023,store_1,item_1,41,21.3,0,6,1
02-01-2023,store_1,item_1,48,21.3,0,0,1
03-01-2023,store_1,item_1,59,21.3,0,1,1
04-01-2023,store_1,item_1,53,21.3,0,2,1
05-01-2023,store_1,item_1,57,21.3,0,3,1
06-01-2023,store_1,item_1,46,21.3,0,4,1
07-01-2023,store_1,item_1,38,21.3,0,5,1
08-01-2023,store_1,item_1,44,21.3,0,6,1
09-01-2023,store_1,item_1,45,21.3,0,0,1
10-01-2023,store_1,item_1,54,21.3,0,1,1
11-01-2023,store_1,item_1,56,21.3,0,2,1
12-01-2023,store_1,item_1,52,21.3,0,3,1
13-01-2023,store_1,item_1,42,21.3,0,4,1
14-01-2023,store_1,item_1,43,21.3,0,5,1
15-01-2023,store_1,item_1,41,21.3,0,6,1
16-01-2023,store_1,item_1,51,21.3,0,0,1
