Date,Product,Demand,Store,Price,Promo
05-01-2024,item_1,101,store_1,68.03,0
12-01-2024,item_2,110,store_2,53.87,0
19-01-2024,item_3,136,store_3,32.32,0
26-01-2024,item_4,149,store_1,35.71,0
02-02-2024,item_5,102,store_2,68.8,0
09-02-2024,item_1,87,store_3,30.03,0
16-02-2024,item_2,82,store_1,42.17,0
23-02-2024,item_3,138,store_2,41.65,0
01-03-2024,item_4,91,store_3,31.87,0
08-03-2024,item_5,64,store_1,48.24,0
15-03-2024,item_1,100,store_2,45.3,0
22-03-2024,item_2,52,store_3,64.4,0
29-03-2024,item_3,122,store_1,32.6,0
05-04-2024,item_4,109,store_2,52.53,0
12-04-2024,item_5,139,store_3,33.91,0
19-04-2024,item_1,109,store_1,34.88,0
26-04-2024,item_2,96,store_2,36.93,0
03-05-2024,item_3,99,store_3,56.5,0
10-05-2024,item_4,55,store_1,38.32,0
17-05-2024,item_5,142,store_2,68.78,0
24-05-2024,item_1,83,store_3,45.81,0
31-05-2024,item_2,144,store_1,66.87,1
07-06-2024,item_3,136,store_2,50.83,0
14-06-2024,item_4,134,store_3,45.55,0
21-06-2024,item_5,102,store_1,53.47,0
28-06-2024,item_1,109,store_2,51.71,0
05-07-2024,item_2,64,store_3,36.61,1
12-07-2024,item_3,58,store_1,60.89,0
19-07-2024,item_4,137,store_2,30.56,0
26-07-2024,item_5,57,store_3,59.16,0
02-08-2024,item_1,54,store_1,67.05,0
09-08-2024,item_2,77,store_2,64.52,0
16-08-2024,item_3,83,store_3,33.82,0
23-08-2024,item_4,111,store_1,43.01,0
30-08-2024,item_5,135,store_2,65.49,0
06-09-2024,item_1,96,store_3,58.53,0
13-09-2024,item_2,139,store_1,39.44,0
20-09-2024,item_3,76,store_2,50.91,0
27-09-2024,item_4,91,store_3,47.57,0
04-10-2024,item_5,145,store_1,55.46,0
11-10-2024,item_1,145,store_2,57.82,0
18-10-2024,item_2,64,store_3,60.22,0
25-10-2024,item_3,81,store_1,53.95,0
01-11-2024,item_4,77,store_2,67.19,0
08-11-2024,item_5,106,store_3,34.22,0
15-11-2024,item_1,93,store_1,46.66,0
22-11-2024,item_2,141,store_2,44.25,0
29-11-2024,item_3,50,store_3,39.12,0
06-12-2024,item_4,126,store_1,64.43,1
13-12-2024,item_5,121,store_2,51.36,0
20-12-2024,item_1,146,store_3,34.79,0
27-12-2024,item_2,128,store_1,36.73,0
05-01-2024,item_3,137,store_2,58.12,0
12-01-2024,item_4,107,store_3,68.5,0
19-01-2024,item_5,51,store_1,58.49,0
26-01-2024,item_1,105,store_2,31.48,0
02-02-2024,item_2,51,store_3,46.44,1
09-02-2024,item_3,145,store_1,66.33,0
16-02-2024,item_4,51,store_2,51.24,0
23-02-2024,item_5,119,store_3,39.68,0
01-03-2024,item_1,124,store_1,44.79,0
08-03-2024,item_2,87,store_2,44.71,0
15-03-2024,item_3,119,store_3,45.95,0
22-03-2024,item_4,65,store_1,63.41,0
29-03-2024,item_5,119,store_2,57.83,0
05-04-2024,item_1,108,store_3,38.81,0
12-04-2024,item_2,68,store_1,43.95,1
19-04-2024,item_3,82,store_2,45.9,0
26-04-2024,item_4,50,store_3,57.03,0
